Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDA15,OUT049,2181.288913575136
DRC01,OUT018,2181.288913575136
FDN15,OUT049,2181.288913575136
FDX07,OUT010,2181.288913575136
NCD19,OUT013,2181.288913575136
FDP36,OUT018,2181.288913575136
FDO10,OUT013,2181.288913575136
FDP10,OUT027,2181.288913575136
FDH17,OUT045,2181.288913575136
FDU28,OUT017,2181.288913575136
FDY07,OUT049,2181.288913575136
FDA03,OUT046,2181.288913575136
FDX32,OUT049,2181.288913575136
FDS46,OUT046,2181.288913575136
FDF32,OUT013,2181.288913575136
FDP49,OUT046,2181.288913575136
NCB42,OUT018,2181.288913575136
FDP49,OUT049,2181.288913575136
DRI11,OUT027,2181.288913575136
FDU02,OUT035,2181.288913575136
FDN22,OUT013,2181.288913575136
FDW12,OUT027,2181.288913575136
NCB30,OUT035,2181.288913575136
FDC37,OUT019,2181.288913575136
FDR28,OUT046,2181.288913575136
NCD06,OUT017,2181.288913575136
FDV10,OUT035,2181.288913575136
DRJ59,OUT013,2181.288913575136
FDE51,OUT010,2181.288913575136
FDC14,OUT019,2181.288913575136
FDV38,OUT010,2181.288913575136
NCS17,OUT018,2181.288913575136
FDP33,OUT018,2181.288913575136
FDO23,OUT045,2181.288913575136
DRH01,OUT046,2181.288913575136
NCX29,OUT049,2181.288913575136
FDV20,OUT027,2181.288913575136
DRZ11,OUT018,2181.288913575136
FDX10,OUT027,2181.288913575136
FDB34,OUT027,2181.288913575136
FDU02,OUT046,2181.288913575136
FDK43,OUT013,2181.288913575136
FDA46,OUT049,2181.288913575136
FDC02,OUT018,2181.288913575136
FDL50,OUT013,2181.288913575136
FDM39,OUT010,2181.288913575136
NCP05,OUT045,2181.288913575136
FDV49,OUT045,2181.288913575136
FDL12,OUT046,2181.288913575136
FDS02,OUT019,2181.288913575136
NCL17,OUT046,2181.288913575136
FDM40,OUT013,2181.288913575136
FDR13,OUT013,2181.288913575136
FDA43,OUT017,2181.288913575136
NCP18,OUT017,2181.288913575136
FDK21,OUT018,2181.288913575136
NCX54,OUT045,2181.288913575136
DRK35,OUT049,2181.288913575136
FDY21,OUT046,2181.288913575136
FDI26,OUT019,2181.288913575136
FDM20,OUT018,2181.288913575136
FDV27,OUT045,2181.288913575136
FDF09,OUT027,2181.288913575136
FDY40,OUT019,2181.288913575136
FDY45,OUT027,2181.288913575136
FDC46,OUT010,2181.288913575136
FDH19,OUT035,2181.288913575136
FDZ03,OUT045,2181.288913575136
DRH37,OUT045,2181.288913575136
NCI17,OUT046,2181.288913575136
FDJ58,OUT046,2181.288913575136
FDL12,OUT013,2181.288913575136
FDH35,OUT045,2181.288913575136
FDG02,OUT017,2181.288913575136
NCZ18,OUT049,2181.288913575136
FDC29,OUT046,2181.288913575136
FDQ10,OUT049,2181.288913575136
FDN48,OUT019,2181.288913575136
FDL04,OUT017,2181.288913575136
FDV25,OUT045,2181.288913575136
FDD58,OUT046,2181.288913575136
FDN04,OUT046,2181.288913575136
FDV45,OUT018,2181.288913575136
NCL18,OUT019,2181.288913575136
FDR12,OUT027,2181.288913575136
FDG20,OUT017,2181.288913575136
FDZ55,OUT035,2181.288913575136
FDQ49,OUT027,2181.288913575136
FDN33,OUT046,2181.288913575136
FDN27,OUT049,2181.288913575136
FDW20,OUT010,2181.288913575136
DRG27,OUT049,2181.288913575136
DRI25,OUT045,2181.288913575136
FDA44,OUT035,2181.288913575136
NCR17,OUT035,2181.288913575136
FDU04,OUT019,2181.288913575136
FDF41,OUT049,2181.288913575136
FDB56,OUT035,2181.288913575136
NCP18,OUT027,2181.288913575136
FDB56,OUT046,2181.288913575136
FDT28,OUT045,2181.288913575136
FDD10,OUT027,2181.288913575136
FDW57,OUT049,2181.288913575136
DRB48,OUT013,2181.288913575136
FDP09,OUT018,2181.288913575136
FDH14,OUT013,2181.288913575136
FDA47,OUT013,2181.288913575136
FDG12,OUT045,2181.288913575136
DRE60,OUT019,2181.288913575136
DRK49,OUT013,2181.288913575136
FDD03,OUT046,2181.288913575136
FDS52,OUT017,2181.288913575136
FDW39,OUT019,2181.288913575136
FDX34,OUT027,2181.288913575136
FDV11,OUT045,2181.288913575136
FDD17,OUT049,2181.288913575136
FDZ16,OUT017,2181.288913575136
FDZ46,OUT035,2181.288913575136
DRA12,OUT017,2181.288913575136
FDY58,OUT018,2181.288913575136
NCF19,OUT017,2181.288913575136
DRJ13,OUT045,2181.288913575136
FDB14,OUT010,2181.288913575136
FDJ38,OUT035,2181.288913575136
FDW11,OUT017,2181.288913575136
FDL40,OUT035,2181.288913575136
DRI49,OUT046,2181.288913575136
FDV38,OUT017,2181.288913575136
DRG23,OUT013,2181.288913575136
NCP30,OUT045,2181.288913575136
FDY25,OUT027,2181.288913575136
NCH54,OUT046,2181.288913575136
NCR53,OUT027,2181.288913575136
FDS52,OUT010,2181.288913575136
FDG02,OUT018,2181.288913575136
NCO26,OUT046,2181.288913575136
FDH35,OUT027,2181.288913575136
FDB51,OUT045,2181.288913575136
FDX44,OUT017,2181.288913575136
NCN07,OUT010,2181.288913575136
NCC31,OUT035,2181.288913575136
NCX54,OUT017,2181.288913575136
NCO55,OUT045,2181.288913575136
NCC30,OUT049,2181.288913575136
FDI16,OUT035,2181.288913575136
FDP16,OUT049,2181.288913575136
FDB11,OUT035,2181.288913575136
NCB06,OUT035,2181.288913575136
FDA45,OUT035,2181.288913575136
NCO26,OUT035,2181.288913575136
DRJ25,OUT017,2181.288913575136
FDR28,OUT018,2181.288913575136
FDI04,OUT018,2181.288913575136
DRK12,OUT027,2181.288913575136
FDX20,OUT046,2181.288913575136
NCI18,OUT018,2181.288913575136
FDB36,OUT018,2181.288913575136
FDN13,OUT017,2181.288913575136
DRD24,OUT017,2181.288913575136
FDQ28,OUT013,2181.288913575136
FDM22,OUT013,2181.288913575136
FDR07,OUT027,2181.288913575136
FDV25,OUT018,2181.288913575136
DRF49,OUT046,2181.288913575136
FDW51,OUT046,2181.288913575136
DRL01,OUT017,2181.288913575136
FDP25,OUT017,2181.288913575136
FDL50,OUT018,2181.288913575136
NCB30,OUT027,2181.288913575136
FDW11,OUT018,2181.288913575136
NCM43,OUT035,2181.288913575136
FDK44,OUT017,2181.288913575136
FDM15,OUT013,2181.288913575136
FDS31,OUT013,2181.288913575136
FDI32,OUT010,2181.288913575136
FDR47,OUT010,2181.288913575136
FDB35,OUT045,2181.288913575136
NCU05,OUT010,2181.288913575136
DRY23,OUT019,2181.288913575136
FDO24,OUT045,2181.288913575136
FDQ28,OUT027,2181.288913575136
FDV39,OUT045,2181.288913575136
NCO17,OUT019,2181.288913575136
FDU50,OUT013,2181.288913575136
FDT12,OUT027,2181.288913575136
FDK58,OUT018,2181.288913575136
FDO08,OUT019,2181.288913575136
NCW29,OUT049,2181.288913575136
FDE04,OUT045,2181.288913575136
NCB19,OUT049,2181.288913575136
FDV15,OUT049,2181.288913575136
FDL58,OUT049,2181.288913575136
FDA08,OUT045,2181.288913575136
FDT43,OUT018,2181.288913575136
NCX06,OUT027,2181.288913575136
FDT20,OUT046,2181.288913575136
FDB41,OUT046,2181.288913575136
NCN55,OUT049,2181.288913575136
FDE40,OUT027,2181.288913575136
FDX49,OUT027,2181.288913575136
NCM53,OUT045,2181.288913575136
FDE36,OUT035,2181.288913575136
FDN57,OUT045,2181.288913575136
FDI24,OUT027,2181.288913575136
FDI19,OUT046,2181.288913575136
FDF24,OUT010,2181.288913575136
FDG52,OUT049,2181.288913575136
DRF36,OUT045,2181.288913575136
FDS45,OUT019,2181.288913575136
FDX40,OUT010,2181.288913575136
DRK12,OUT035,2181.288913575136
DRC27,OUT035,2181.288913575136
FDL58,OUT017,2181.288913575136
NCD30,OUT045,2181.288913575136
NCZ54,OUT010,2181.288913575136
FDE10,OUT010,2181.288913575136
FDR44,OUT010,2181.288913575136
FDP28,OUT010,2181.288913575136
